"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2022', 'Quantity')","('Dec 2022', 'FOB (Baht)')","('Jan - Dec 2022', 'Quantity')","('Jan - Dec 2022', 'FOB (Baht)')"
AR,ARGENTINA,0,0,189000,13843144
AU,AUSTRALIA,47697,4275284,480431,38274123
BD,BANGLADESH,0,0,26300,1832827
BE,BELGIUM,4794,23990,4794,23990
KH,CAMBODIA,3000,276017,59495,3468694
CA,CANADA,23986,1372375,23986,1372375
CN,CHINA,10814098,249702531,89031368,1866859486
FJ,FIJI,0,0,15350,997605
FI,FINLAND,1,71,1,71
FR,FRANCE,10,780,10,780
DE,GERMANY,0,33,461296,44829199
HK,HONG KONG,27000,286117,119102,743984
IN,INDIA,239200,10313879,4750800,176111524
ID,INDONESIA,1668,213890,1580999,77280801
IT,ITALY,0,0,16,781
JP,JAPAN,254,65086,282343,22122252
KE,KENYA,0,0,100000,3190593
KR,"KOREA,REPUBLIC OF",224875,1101022,2450343,13094227
LA,LAO PDR,13025,624379,125947,8070552
LU,LUXEMBOURG,2000,74000,2000,74000
MY,MALAYSIA,90460,5942106,1970817,82607686
MV,MALDIVES,0,0,4,200
MU,MAURITIUS,0,0,19200,952386
MM,MYANMAR,0,0,32025,2108413
NP,NEPAL,0,0,19000,3208480
NL,NETHERLANDS,10,715,60,2555
NZ,NEW ZEALAND,500,43240,23769,1345240
PK,PAKISTAN,8500,319018,34500,1210874
PH,PHILIPPINES,24025,1841616,79638,8011033
SA,SAUDI ARABIA,1,71,1,71
SG,SINGAPORE,7495,653733,126486,15767516
SI,SLOVENIA,230110,10515726,1891180,77155294
ZA,SOUTH AFRICA,0,0,115770,3549384
ES,SPAIN,0,0,27544,148063
LK,SRI LANKA,0,0,5004,996969
SE,SWEDEN,0,33,0,33
TW,"TAIWAN, PROVINCE OF CHINA",78400,3295557,1017985,46411255
TZ,TANZANIA UNITED REPUBLIC OF,0,0,84000,3036239
TR,TÜRKIYE,15,1072,45617,7218471
AE,UNITED ARAB EMIRATES,0,0,69975,5741944
GB,UNITED KINGDOM,3,176,18682,1591317
US,UNITED STATES,79574,3056882,284488,10383279
UY,URUGUAY,600,111396,600,111396
VN,VIETNAM,27480,3557605,678077,65596131
SUM,SUM,11948781,297668400,106248003,2609345237
