"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Nov 2018', 'Quantity')","('Nov 2018', 'FOB (Baht)')","('Jan - Nov 2018', 'Quantity')","('Jan - Nov 2018', 'FOB (Baht)')"
AU,AUSTRALIA,0,0,171000,8482982
BD,BANGLADESH,102000,5090177,1190000,58644641
KH,CAMBODIA,0,0,1320,132605
CN,CHINA,9968250,504393737,72886875,3691081925
DO,DOMINICAN REPUBLIC,26300,1005657,26300,1005657
IN,INDIA,1086000,55700630,23865075,1203375472
ID,INDONESIA,288000,14205056,1341125,67182080
JP,JAPAN,0,0,12010,717738
LA,LAO PDR,10,23205,334,546604
MY,MALAYSIA,0,0,76722,4658605
MU,MAURITIUS,0,0,4500,222417
MX,MEXICO,0,0,52000,1150535
PK,PAKISTAN,17000,868454,215500,10969848
PH,PHILIPPINES,1000,7403,66075,3663614
SA,SAUDI ARABIA,0,0,24000,1214313
SC,SEYCHELLES,0,0,970,24375
SG,SINGAPORE,15000,774480,33400,1781557
LK,SRI LANKA,0,0,153000,7653872
TW,"TAIWAN, PROVINCE OF CHINA",0,0,72025,4304380
US,UNITED STATES,38000,1933282,190000,9592389
VN,VIETNAM,32000,1727186,1189646,59708773
SUM,SUM,11573560,585729267,101571877,5136114382
