"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2015', 'Quantity')","('Jan 2015', 'FOB (Baht)')","('Jan - Jan 2015', 'Quantity')","('Jan - Jan 2015', 'FOB (Baht)')"
AR,ARGENTINA,297000,13103935,297000,13103935
AU,AUSTRALIA,2134505,93730943,2134505,93730943
BD,BANGLADESH,682500,30715349,682500,30715349
BR,BRAZIL,159500,7800167,159500,7800167
KH,CAMBODIA,90050,3742378,90050,3742378
CM,CAMEROON,33000,1586686,33000,1586686
CN,CHINA,23607075,971091830,23607075,971091830
CO,COLOMBIA,33000,1466441,33000,1466441
CG,CONGO,17000,732731,17000,732731
CI,COTE D IVOIRE,33000,1442564,33000,1442564
DJ,DJIBOUTI,18000,858118,18000,858118
EG,EGYPT,49500,2512271,49500,2512271
FJ,FIJI,16500,736975,16500,736975
PF,FRENCH POLYNESIA,18000,787587,18000,787587
GP,GUADELOUPE,17000,850689,17000,850689
GN,GUINEA,16500,793343,16500,793343
HK,HONG KONG,286000,11138489,286000,11138489
IN,INDIA,7181300,291438326,7181300,291438326
ID,INDONESIA,5224165,228475512,5224165,228475512
JP,JAPAN,8345375,350273065,8345375,350273065
KZ,KAZAKHSTAN,34000,1454360,34000,1454360
KR,"KOREA,REPUBLIC OF",671175,29349291,671175,29349291
LA,LAO PDR,338775,16287944,338775,16287944
MY,MALAYSIA,1195070,53312298,1195070,53312298
MU,MAURITIUS,31000,1496093,31000,1496093
MZ,MOZAMBIQUE,89000,3859244,89000,3859244
MM,MYANMAR,60800,2668591,60800,2668591
NZ,NEW ZEALAND,1225790,60242537,1225790,60242537
NG,NIGERIA,82500,3966715,82500,3966715
PK,PAKISTAN,41250,1871765,41250,1871765
PG,PAPUA NEW GUINEA,60000,2501862,60000,2501862
PY,PARAGUAY,49500,1942276,49500,1942276
PE,PERU,12000,1396855,12000,1396855
PH,PHILIPPINES,1407750,56890639,1407750,56890639
PL,POLAND,34500,1363621,34500,1363621
SG,SINGAPORE,161000,8020716,161000,8020716
LK,SRI LANKA,74250,3508191,74250,3508191
TW,"TAIWAN, PROVINCE OF CHINA",1539825,65357199,1539825,65357199
AE,UNITED ARAB EMIRATES,102000,4662833,102000,4662833
UY,URUGUAY,51000,2506363,51000,2506363
VN,VIETNAM,1515011,65573853,1515011,65573853
SUM,SUM,57035166,2401510645,57035166,2401510645
