"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2015', 'Quantity')","('Mar 2015', 'FOB (Baht)')","('Jan - Mar 2015', 'Quantity')","('Jan - Mar 2015', 'FOB (Baht)')"
AR,ARGENTINA,88800,6899571,277700,21953541
AU,AUSTRALIA,30000,3167680,60504,6388206
BD,BANGLADESH,0,0,20600,2080744
BE,BELGIUM,0,0,104,2641
CN,CHINA,51315,3644974,917775,64946400
EG,EGYPT,0,0,89000,5871726
GH,GHANA,80500,2068805,129250,3446864
HK,HONG KONG,0,0,9700,675614
IN,INDIA,209615,19140226,536425,47826408
ID,INDONESIA,217130,19066935,384705,33659791
JP,JAPAN,52550,1489591,185350,5341669
KE,KENYA,16250,441581,50500,1600935
KR,"KOREA,REPUBLIC OF",0,0,12851,824704
LA,LAO PDR,39,19078,39,19078
MY,MALAYSIA,96303,6472674,287483,21288515
MV,MALDIVES,6,5000,6,5000
MM,MYANMAR,0,0,2000,173200
PK,PAKISTAN,16000,536693,16000,536693
PH,PHILIPPINES,864,709948,27810,3804371
SN,SENEGAL,0,0,32000,1107586
SG,SINGAPORE,0,0,49500,2289194
LK,SRI LANKA,16000,386910,16600,466847
TW,"TAIWAN, PROVINCE OF CHINA",26075,1999163,81746,7897538
AE,UNITED ARAB EMIRATES,30000,810054,106000,2743130
US,UNITED STATES,0,0,18000,1498767
VN,VIETNAM,25878,2294473,68626,6519229
SUM,SUM,957325,69153356,3380274,242968391
