"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Aug 2015', 'Quantity')","('Aug 2015', 'FOB (Baht)')","('Jan - Aug 2015', 'Quantity')","('Jan - Aug 2015', 'FOB (Baht)')"
AU,AUSTRALIA,24000,1256114,240000,14038454
BD,BANGLADESH,0,0,17100,926650
BN,BRUNEI DARUSSALAM,10000,428545,31000,1316891
KH,CAMBODIA,3000,179571,9000,540192
CN,CHINA,0,0,302,9782
IN,INDIA,650,91324,650,91324
ID,INDONESIA,254000,14788967,2768000,154881653
IQ,IRAQ,26600,454915,57600,959431
JP,JAPAN,50,1710,1400,58436
MY,MALAYSIA,21025,1695368,84026,6748812
NL,NETHERLANDS,0,0,4865,500348
PK,PAKISTAN,9500,827567,9500,827567
US,UNITED STATES,0,0,1302,191329
VN,VIETNAM,0,0,142950,4166773
SUM,SUM,348825,19724081,3367695,185257642
