"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Nov 2017', 'Quantity')","('Nov 2017', 'FOB (Baht)')","('Jan - Nov 2017', 'Quantity')","('Jan - Nov 2017', 'FOB (Baht)')"
AT,AUSTRIA,0,0,650,22782
BD,BANGLADESH,16250,382093,51750,2175909
BN,BRUNEI DARUSSALAM,5000,220664,35000,1475919
CN,CHINA,25,7711,10925,2911752
FR,FRANCE,0,0,48,14467
IN,INDIA,2000,124636,7200,443947
ID,INDONESIA,431000,19484725,4871800,222602652
JP,JAPAN,2100,123650,6325,445518
KR,"KOREA,REPUBLIC OF",0,0,31750,1235368
LA,LAO PDR,23000,987426,293000,11791254
MY,MALAYSIA,0,0,8031,529025
NO,NORWAY,0,0,400,19999
PK,PAKISTAN,1650,173069,33975,3188193
TW,"TAIWAN, PROVINCE OF CHINA",125,31434,1000,165533
TR,TÜRKIYE,1800,137923,9000,689218
AE,UNITED ARAB EMIRATES,0,0,100,3941
US,UNITED STATES,3700,297015,7800,630728
VN,VIETNAM,100,18087,26150,2403256
SUM,SUM,486750,21988433,5394904,250749461
