"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2013', 'Quantity')","('May 2013', 'FOB (Baht)')","('Jan - May 2013', 'Quantity')","('Jan - May 2013', 'FOB (Baht)')"
AU,AUSTRALIA,0,0,402000,20661408
BD,BANGLADESH,408000,18739199,2227000,104292858
KH,CAMBODIA,0,0,1540,113577
CN,CHINA,6216200,284449310,21941425,1053489351
DJ,DJIBOUTI,68000,3356598,68000,3356598
ET,ETHIOPIA,0,0,34000,1702407
HK,HONG KONG,0,0,2000,105665
IN,INDIA,1861000,84925010,10891000,515952501
ID,INDONESIA,163500,7808440,718450,35289738
JP,JAPAN,24400,1132691,25950,1411191
KR,"KOREA,REPUBLIC OF",500,31585,7100,373783
MY,MALAYSIA,750,92382,73500,3746458
PK,PAKISTAN,85000,3813693,884000,43423401
PH,PHILIPPINES,0,0,24300,1252481
SG,SINGAPORE,0,0,7050,398048
LK,SRI LANKA,17000,799774,187000,9179708
TW,"TAIWAN, PROVINCE OF CHINA",0,0,1000,55581
TR,TÜRKIYE,0,0,68000,3547855
US,UNITED STATES,0,0,31000,1678409
VN,VIETNAM,298000,14055159,419800,19864704
SUM,SUM,9142350,419203841,38014115,1819895722
