"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Nov 2021', 'Quantity')","('Nov 2021', 'FOB (Baht)')","('Jan - Nov 2021', 'Quantity')","('Jan - Nov 2021', 'FOB (Baht)')"
AU,AUSTRALIA,0,0,60015,4895915
BD,BANGLADESH,0,0,1316000,111165533
CN,CHINA,10057725,999777663,90231667,7156451839
DE,GERMANY,0,0,75,6412
IN,INDIA,1951000,210005940,13695400,1123718488
ID,INDONESIA,151000,18860761,912539,80546438
JP,JAPAN,12000,1577294,29200,3291527
KR,"KOREA,REPUBLIC OF",0,0,5425,617911
LA,LAO PDR,0,0,1063,272556
MY,MALAYSIA,6320,919427,1135346,99125906
PK,PAKISTAN,0,0,223500,18100653
PH,PHILIPPINES,0,0,43945,4311215
SA,SAUDI ARABIA,0,0,24000,1645753
SG,SINGAPORE,200,10734,27600,2228135
LK,SRI LANKA,51015,6389565,51015,6389565
TW,"TAIWAN, PROVINCE OF CHINA",0,0,5000,383252
TR,TÜRKIYE,16000,2120237,112000,10638551
AE,UNITED ARAB EMIRATES,0,0,48000,4129739
US,UNITED STATES,19000,1573613,170000,13708651
VN,VIETNAM,30000,3458636,1317600,114543836
SUM,SUM,12294260,1244693870,109409390,8756171875
