"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2012', 'Quantity')","('Jun 2012', 'FOB (Baht)')","('Jan - Jun 2012', 'Quantity')","('Jan - Jun 2012', 'FOB (Baht)')"
AU,AUSTRALIA,0,0,199091,6014878
BD,BANGLADESH,0,0,68480,3064575
BE,BELGIUM,0,0,500,31279
CN,CHINA,19014,4541087,35489,5719034
DJ,DJIBOUTI,0,0,34000,1531031
HK,HONG KONG,0,0,7000,346217
ID,INDONESIA,0,0,247845,13737749
JP,JAPAN,20000,843948,90351,4590766
KR,"KOREA,REPUBLIC OF",0,0,981,120632
MY,MALAYSIA,500,36035,18500,883835
MM,MYANMAR,0,0,200,17244
PK,PAKISTAN,375,27670,425,32623
PH,PHILIPPINES,0,0,51075,2312709
TW,"TAIWAN, PROVINCE OF CHINA",0,0,0,30
US,UNITED STATES,0,0,200,15314
VN,VIETNAM,64360,4222012,491708,33156906
SUM,SUM,104249,9670752,1245845,71574822
