"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2018', 'Quantity')","('Feb 2018', 'FOB (Baht)')","('Jan - Feb 2018', 'Quantity')","('Jan - Feb 2018', 'FOB (Baht)')"
CN,CHINA,12500,1543589,15950,1810898
ID,INDONESIA,13000,1857545,39000,5566117
JP,JAPAN,600,57064,922,89705
KR,"KOREA,REPUBLIC OF",36000,3400905,96000,9238270
LA,LAO PDR,14500,678125,29000,1338125
PK,PAKISTAN,1000,81865,2500,219175
PH,PHILIPPINES,22000,1230608,46000,2583537
TW,"TAIWAN, PROVINCE OF CHINA",6000,657227,6000,657227
US,UNITED STATES,5500,327334,5500,327334
VN,VIETNAM,56000,2905720,112000,5901515
SUM,SUM,167100,12739982,352872,27731903
