"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2014', 'Quantity')","('Feb 2014', 'FOB (Baht)')","('Jan - Feb 2014', 'Quantity')","('Jan - Feb 2014', 'FOB (Baht)')"
AU,AUSTRALIA,1673170,90835582,3307740,177977506
BD,BANGLADESH,376500,20145177,568750,30567343
BE,BELGIUM,180000,9653769,398250,21221382
BN,BRUNEI DARUSSALAM,7000,389552,7000,389552
KH,CAMBODIA,92000,5296963,240000,13366165
CL,CHILE,18000,934153,18000,934153
CN,CHINA,14345625,790519076,29349200,1600654506
DJ,DJIBOUTI,0,0,126000,6583060
EC,ECUADOR,0,0,108000,5419063
EG,EGYPT,198000,10476192,198000,10476192
ET,ETHIOPIA,16000,548063,16000,548063
FJ,FIJI,72000,3981283,78000,4310532
FR,FRANCE,192000,10663740,192000,10663740
PF,FRENCH POLYNESIA,36000,2002386,36000,2002386
HK,HONG KONG,877750,48495200,1273950,70185401
IN,INDIA,4040075,216252727,8611185,457841615
ID,INDONESIA,4013520,223199294,10898266,601912393
JP,JAPAN,7936625,407959130,15901620,810736029
KZ,KAZAKHSTAN,34000,1774680,34000,1774680
KR,"KOREA,REPUBLIC OF",1651250,90102100,2568625,143495835
KW,KUWAIT,0,0,234000,12282954
LA,LAO PDR,165750,9610535,551300,30863277
MY,MALAYSIA,1976705,109986538,4082344,226150462
MU,MAURITIUS,49000,2649633,49000,2649633
MM,MYANMAR,0,0,36000,1984961
NC,NEW CALEDONIA,18000,998257,36000,1986006
NZ,NEW ZEALAND,1409050,74941351,2177290,118468165
PK,PAKISTAN,4000,437928,78250,4412566
PG,PAPUA NEW GUINEA,27000,1493470,27000,1493470
PE,PERU,0,0,207000,10970799
PH,PHILIPPINES,754000,42348129,1378000,76482338
PT,PORTUGAL,940000,49192894,1914500,99361051
RE,REUNION,52000,2807908,88000,4642732
RU,RUSSIAN FEDERATION,80,5349,80,5349
SG,SINGAPORE,129750,7661078,252625,14976279
SK,SLOVAKIA,0,0,88000,4425828
ES,SPAIN,414000,21902034,414000,21902034
LK,SRI LANKA,133500,7488713,226150,12682946
CH,SWITZERLAND,400,21531,400,21531
TW,"TAIWAN, PROVINCE OF CHINA",2181750,121812875,3693750,205770828
TZ,TANZANIA UNITED REPUBLIC OF,0,0,26000,1497903
UA,UKRAINE,0,0,36000,1838634
AE,UNITED ARAB EMIRATES,549000,29478439,979000,51964909
US,UNITED STATES,250,8155,250,8155
VN,VIETNAM,2546920,145834356,5137170,289983809
SUM,SUM,47110670,2561908240,95642695,5167886215
