"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Aug 2021', 'Quantity')","('Aug 2021', 'FOB (Baht)')","('Jan - Aug 2021', 'Quantity')","('Jan - Aug 2021', 'FOB (Baht)')"
AR,ARGENTINA,76500,4950892,426650,29874598
AU,AUSTRALIA,122660,4732458,496840,28074356
BD,BANGLADESH,136000,4352756,307000,11190568
BR,BRAZIL,0,0,2000,105216
BF,BURKINA FASO,0,0,4,469
KH,CAMBODIA,0,0,27100,1182139
CN,CHINA,6557280,107195390,47745122,786582085
DK,DENMARK,0,0,24975,1361138
DJ,DJIBOUTI,136076,1063160,136076,1063160
FJ,FIJI,0,0,28925,1231359
DE,GERMANY,0,0,13000,46597
GH,GHANA,0,0,13500,104638
HK,HONG KONG,0,0,235556,1816495
IN,INDIA,177875,5240302,1700645,47909873
ID,INDONESIA,235550,9999704,1666441,70059659
IR,IRAN (ISLAMIC REPUBLIC OF),0,0,24750,1233370
IT,ITALY,0,0,15,7680
JP,JAPAN,4699,248282,622872,24642644
KE,KENYA,0,0,25000,194661
KR,"KOREA,REPUBLIC OF",26500,207044,165988,1759232
LA,LAO PDR,7000,364000,61550,3943702
MY,MALAYSIA,34868,3120692,416584,37947489
MU,MAURITIUS,0,0,1100,187017
MM,MYANMAR,0,0,17626,834062
NP,NEPAL,0,0,33600,4981676
NZ,NEW ZEALAND,0,0,65660,5220410
PK,PAKISTAN,19000,1310548,162325,10585513
PH,PHILIPPINES,15000,1451606,183570,9966804
PL,POLAND,0,0,104,177877
SG,SINGAPORE,12025,1368611,99295,11204322
SK,SLOVAKIA,0,0,101,9731
SI,SLOVENIA,0,0,805920,24409050
ZA,SOUTH AFRICA,0,0,24415,1858490
LK,SRI LANKA,0,0,101500,2684180
TW,"TAIWAN, PROVINCE OF CHINA",109600,4710162,1021975,44485578
TR,TÜRKIYE,0,0,31050,3138781
AE,UNITED ARAB EMIRATES,5000,748744,25975,1963326
GB,UNITED KINGDOM,3075,539597,3085,539895
US,UNITED STATES,29200,1234048,32805,2339491
UY,URUGUAY,0,0,600,98018
VN,VIETNAM,36875,4007633,593136,49973028
SUM,SUM,7744783,156845629,57344435,1224988377
