"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2022', 'Quantity')","('May 2022', 'FOB (Baht)')","('Jan - May 2022', 'Quantity')","('Jan - May 2022', 'FOB (Baht)')"
AU,AUSTRALIA,15000,1625243,66980,6502400
CN,CHINA,110500,4167448,201900,10991134
IN,INDIA,14000,672874,18025,1049429
ID,INDONESIA,0,0,414,336717
LA,LAO PDR,561,41969,3604,376034
MY,MALAYSIA,0,0,1000,65515
NZ,NEW ZEALAND,0,0,100,7264
SG,SINGAPORE,0,0,7000,1065106
TW,"TAIWAN, PROVINCE OF CHINA",0,0,36000,1371202
VN,VIETNAM,1500,176161,2500,268094
SUM,SUM,141561,6683695,337523,22032895
