"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2013', 'Quantity')","('Dec 2013', 'FOB (Baht)')","('Jan - Dec 2013', 'Quantity')","('Jan - Dec 2013', 'FOB (Baht)')"
AU,AUSTRALIA,0,0,3908,371460
KH,CAMBODIA,145149,33301300,1119478,236707150
CA,CANADA,0,0,3306,108242
CN,CHINA,0,0,107047,1979333
CY,CYPRUS,0,0,2,8345
DK,DENMARK,3,471,3,502
EG,EGYPT,0,157,0,311
FR,FRANCE,0,0,333,50662
DE,GERMANY,31,2068,309,44622
GH,GHANA,0,0,1,29
GR,GREECE,0,0,1,244
HK,HONG KONG,1,62,6337,819400
IN,INDIA,0,0,0,121
ID,INDONESIA,14500,840583,49575,2086539
IR,IRAN (ISLAMIC REPUBLIC OF),0,0,0,155
IL,ISRAEL,0,0,0,30
IT,ITALY,0,0,47,1669
JP,JAPAN,100,8833,64510,8161386
KE,KENYA,0,0,29250,1840114
KR,"KOREA,REPUBLIC OF",0,0,47,4350
LA,LAO PDR,196,24000,2425,159800
LT,LITHUANIA,0,0,0,203
MY,MALAYSIA,0,31,15251,1706704
MM,MYANMAR,200,2880,405,35880
NC,NEW CALEDONIA,0,0,0,158
NG,NIGERIA,15000,989106,45000,2910619
NO,NORWAY,0,0,108,16435
PK,PAKISTAN,0,0,5650,599897
PH,PHILIPPINES,0,0,640,84696
SA,SAUDI ARABIA,0,0,1,619
SG,SINGAPORE,3000,195405,56127,4274451
LK,SRI LANKA,1000,62214,67775,4041702
CH,SWITZERLAND,0,0,0,981
TW,"TAIWAN, PROVINCE OF CHINA",1,314,35,4872
AE,UNITED ARAB EMIRATES,0,0,0,174
GB,UNITED KINGDOM,0,0,16,3604
US,UNITED STATES,0,31,55,80331
VN,VIETNAM,0,0,19233,1672886
ZW,ZIMBABWE,0,0,150,2953
SUM,SUM,179181,35427455,1597025,267781629
