"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2017', 'Quantity')","('May 2017', 'FOB (Baht)')","('Jan - May 2017', 'Quantity')","('Jan - May 2017', 'FOB (Baht)')"
AO,ANGOLA,72000,2891107,126000,5090605
AU,AUSTRALIA,970350,42601222,4029700,179158012
BH,BAHRAIN,0,0,71475,3215425
BD,BANGLADESH,91000,4001688,945100,42972124
BE,BELGIUM,11000,459718,338500,14973666
BR,BRAZIL,0,0,229000,9961114
BN,BRUNEI DARUSSALAM,0,0,2000,86849
KH,CAMBODIA,385000,17268679,2100675,104628990
CM,CAMEROON,0,0,234000,9619390
CA,CANADA,96000,4648688,296000,14617533
CL,CHILE,0,0,78000,3644976
CN,CHINA,7818670,339005080,43111889,1949436293
CO,COLOMBIA,0,0,17850,810057
CG,CONGO,18000,773076,34500,1534082
CI,COTE D IVOIRE,15500,698734,1040500,42302962
DJ,DJIBOUTI,84000,3713631,424000,18219208
EG,EGYPT,0,0,143000,6131005
SV,EL SALVADOR,0,0,200,13402
FJ,FIJI,73450,4098031,352850,19699393
FR,FRANCE,44000,2431400,87925,4934875
PF,FRENCH POLYNESIA,50500,2456827,139000,6890979
GA,GABON,13500,637012,45000,2004698
GM,GAMBIA,0,0,35200,1566639
DE,GERMANY,278000,13302305,1147854,56438532
GH,GHANA,576000,22828087,1985600,81302574
GN,GUINEA,16500,730449,16500,730449
HK,HONG KONG,0,0,35000,1524194
IN,INDIA,414800,19556954,2196350,103758360
ID,INDONESIA,3744500,159018535,16312066,704816439
IL,ISRAEL,1367475,64047564,5476825,255197238
JP,JAPAN,1607575,66817577,8912450,379506653
KZ,KAZAKHSTAN,36000,1497729,265000,11391161
KE,KENYA,181400,9396578,851800,40177582
KR,"KOREA,REPUBLIC OF",20000,2317592,99100,11680588
LA,LAO PDR,108375,5443898,329982,16006774
LV,LATVIA,0,0,13500,646187
LR,LIBERIA,0,0,108000,4587229
MG,MADAGASCAR,27500,1329928,82500,4102596
MY,MALAYSIA,1536600,65887494,7691150,336354721
MU,MAURITIUS,26600,1350415,295775,15853583
YT,MAYOTTE,0,0,13500,674787
MX,MEXICO,0,0,200,14436
MZ,MOZAMBIQUE,0,0,139500,6140929
MM,MYANMAR,241800,11572467,1369450,61534640
NL,NETHERLANDS,46000,2109042,136000,6411444
NC,NEW CALEDONIA,15400,759332,110275,5214695
NZ,NEW ZEALAND,378000,17915944,1917225,93914799
NG,NIGERIA,612000,14087246,1944000,46630570
OM,OMAN,510400,21622133,1236800,53080934
PK,PAKISTAN,0,0,332000,14770612
PG,PAPUA NEW GUINEA,0,0,99400,5775696
PE,PERU,0,0,36000,1635735
PH,PHILIPPINES,399000,17257075,1355375,60651926
PL,POLAND,52500,2351608,392425,18174936
PT,PORTUGAL,0,0,25000,1056378
RE,REUNION,34000,1507311,225000,11282724
RU,RUSSIAN FEDERATION,908900,38189714,1482500,63931024
WS,SAMOA,26000,1499570,26000,1499570
SN,SENEGAL,189700,7801351,646800,28443764
SC,SEYCHELLES,0,0,9975,803460
SL,SIERRA LEONE,108000,5280245,248500,12143916
SG,SINGAPORE,44000,1877003,198000,8657042
SI,SLOVENIA,0,0,155000,6896086
SO,SOMALIA,0,0,14200,798230
ZA,SOUTH AFRICA,147600,6484409,1227000,53151747
LK,SRI LANKA,31100,1422256,705500,32221894
SD,SUDAN,0,0,68900,3510694
SE,SWEDEN,71725,4064516,215550,12336828
TW,"TAIWAN, PROVINCE OF CHINA",105450,4560194,266800,12514385
TZ,TANZANIA UNITED REPUBLIC OF,25500,1317162,319000,14916567
TG,TOGO,252000,9945470,1781000,72919162
TR,TÜRKIYE,40400,2130844,248875,13196193
UG,UGANDA,0,0,200,9385
UA,UKRAINE,187700,8047058,396675,17378191
AE,UNITED ARAB EMIRATES,813000,36257708,2567600,114220816
GB,UNITED KINGDOM,0,0,35000,1599797
US,UNITED STATES,0,0,400,18425
UY,URUGUAY,0,0,21000,953614
VN,VIETNAM,1819200,80148304,7715275,352178825
YE,YEMEN,1000,41603,1000,41603
SUM,SUM,26744670,1157459563,127384716,5676893596
