"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Aug 2015', 'Quantity')","('Aug 2015', 'FOB (Baht)')","('Jan - Aug 2015', 'Quantity')","('Jan - Aug 2015', 'FOB (Baht)')"
KH,CAMBODIA,75000,4473909,1028250,57428103
CN,CHINA,40000,2815210,60014,4207224
IN,INDIA,16330,718528,639705,16929870
ID,INDONESIA,0,0,93500,4906955
JP,JAPAN,0,0,549,31074
LA,LAO PDR,0,0,18450,190750
MY,MALAYSIA,22042,1282476,44109,2537210
nan,NAMIBIA,0,0,32000,945016
NZ,NEW ZEALAND,0,0,72400,2214846
PK,PAKISTAN,0,0,16000,643040
LK,SRI LANKA,0,0,400,21513
SUM,SUM,153372,9290123,2005377,90055601
