"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2016', 'Quantity')","('Feb 2016', 'FOB (Baht)')","('Jan - Feb 2016', 'Quantity')","('Jan - Feb 2016', 'FOB (Baht)')"
AO,ANGOLA,0,0,72000,2736918
AR,ARGENTINA,108000,4127127,108000,4127127
AU,AUSTRALIA,754000,31679067,1234125,52433217
BH,BAHRAIN,0,0,76800,3413258
BD,BANGLADESH,89000,4581495,410600,18174093
BE,BELGIUM,51000,2319492,479500,20581218
BR,BRAZIL,0,0,54000,2198896
KH,CAMBODIA,435900,21151937,762900,35997474
CM,CAMEROON,0,0,144000,5677168
CA,CANADA,99500,5206163,139500,7174937
CN,CHINA,9989955,422364362,18886555,793352476
CG,CONGO,0,0,14000,770516
CI,COTE D IVOIRE,0,0,108000,4295800
DJ,DJIBOUTI,144000,5897437,270000,11300269
EC,ECUADOR,0,0,35000,1511545
EG,EGYPT,16500,724902,33500,1468219
FJ,FIJI,38200,1865934,102600,5666418
FI,FINLAND,1375,62847,1375,62847
FR,FRANCE,0,0,143000,7033185
PF,FRENCH POLYNESIA,13500,719357,13500,719357
GA,GABON,36000,1386869,53600,2194747
GM,GAMBIA,0,0,18000,690684
DE,GERMANY,399750,20455741,615750,31391666
GH,GHANA,360000,14076083,792000,30424974
GR,GREECE,72750,3188962,72750,3188962
IN,INDIA,212050,9754323,502200,22650366
ID,INDONESIA,2836500,116781575,6617890,277108185
IL,ISRAEL,879825,40926272,1670625,78034148
JP,JAPAN,1647625,67374305,3072075,125483621
KZ,KAZAKHSTAN,138000,5821829,172000,7272769
KE,KENYA,284100,13596366,400500,19190183
KR,"KOREA,REPUBLIC OF",20000,2581407,48400,6302217
LA,LAO PDR,44725,1835841,49829,2163973
LV,LATVIA,27000,1273457,27000,1273457
MG,MADAGASCAR,13500,685193,27000,1396710
MY,MALAYSIA,918625,37678054,1507125,63036419
MU,MAURITIUS,56400,2992353,160800,8371035
MZ,MOZAMBIQUE,158000,6536288,220600,9188143
MM,MYANMAR,236400,9801327,396500,17022078
NL,NETHERLANDS,24000,1135532,46000,2339012
NC,NEW CALEDONIA,27475,1440452,27475,1440452
NZ,NEW ZEALAND,438500,18477288,717000,30398253
PK,PAKISTAN,0,0,4000,465785
PG,PAPUA NEW GUINEA,18000,725838,18000,725838
PE,PERU,0,0,216000,8777338
PH,PHILIPPINES,197000,8187068,486600,21194321
PL,POLAND,45000,2055442,150000,6624037
PT,PORTUGAL,16500,736638,16500,736638
QA,QATAR,28400,1711977,28400,1711977
RE,REUNION,27000,1380608,39000,1996919
RO,ROMANIA,0,0,24000,1101921
RU,RUSSIAN FEDERATION,346050,14841451,805050,34049188
SN,SENEGAL,0,0,42550,2416257
SL,SIERRA LEONE,13500,628358,27000,1254223
SG,SINGAPORE,96750,4062696,128375,5397737
SK,SLOVAKIA,0,0,48750,2080392
SI,SLOVENIA,0,0,51000,2139831
ZA,SOUTH AFRICA,240600,10641238,444600,18851453
ES,SPAIN,0,0,48750,2077729
LK,SRI LANKA,35200,1533587,154300,6723519
SD,SUDAN,0,0,13500,650878
CH,SWITZERLAND,0,0,200,8319
TW,"TAIWAN, PROVINCE OF CHINA",0,0,87500,3638269
TZ,TANZANIA UNITED REPUBLIC OF,0,0,70400,2997701
TG,TOGO,306000,11859682,360000,13931736
TR,TÜRKIYE,28400,1561121,118300,6089591
UA,UKRAINE,69600,3211180,231100,10492455
AE,UNITED ARAB EMIRATES,283200,12276469,862375,38637253
GB,UNITED KINGDOM,0,0,35000,1496878
VN,VIETNAM,1867864,78538367,3265498,140097049
YE,YEMEN,100,3924,100,3924
SUM,SUM,24191319,1032455281,48080922,2055626148
