"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jul 2019', 'Quantity')","('Jul 2019', 'FOB (Baht)')","('Jan - Jul 2019', 'Quantity')","('Jan - Jul 2019', 'FOB (Baht)')"
AU,AUSTRALIA,32800,4584964,86800,12335914
BD,BANGLADESH,0,0,1000,54553
CN,CHINA,344970,7908052,4055441,92932047
ID,INDONESIA,160,2378,7135,514430
JP,JAPAN,96000,4005790,884610,37452493
KR,"KOREA,REPUBLIC OF",100,9928,275,25679
LA,LAO PDR,0,0,34650,1476682
MY,MALAYSIA,0,0,1500,142343
PK,PAKISTAN,0,0,200,73321
VN,VIETNAM,0,0,2200,199804
SUM,SUM,474030,16511112,5073811,145207266
