"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2019', 'Quantity')","('Oct 2019', 'FOB (Baht)')","('Jan - Oct 2019', 'Quantity')","('Jan - Oct 2019', 'FOB (Baht)')"
AU,AUSTRALIA,1106440,40489745,8481980,342645298
BD,BANGLADESH,78100,2968035,1781595,66154258
BE,BELGIUM,0,0,2429100,134502567
BT,BHUTAN,0,0,321750,11442059
KH,CAMBODIA,0,0,40,26400
CN,CHINA,36115010,1586087422,299352566,13197099715
EC,ECUADOR,0,0,24750,1042102
FJ,FIJI,20000,724037,46000,1692993
DE,GERMANY,60,3789,2080,120352
HK,HONG KONG,59300,3555535,380310,19327867
IN,INDIA,685850,33437074,11266750,522755920
ID,INDONESIA,5108195,183347444,51877036,1994523737
JP,JAPAN,6675825,265675110,71590415,2989331399
KR,"KOREA,REPUBLIC OF",410240,21368300,6129490,325131906
MY,MALAYSIA,802435,31593160,8837922,364397292
MU,MAURITIUS,0,0,32500,1213653
MM,MYANMAR,0,0,78000,3922144
NP,NEPAL,0,0,78100,3457732
NL,NETHERLANDS,0,0,300,17513
NZ,NEW ZEALAND,354250,14450184,4390005,176082081
PK,PAKISTAN,8800,484386,595100,25509080
PG,PAPUA NEW GUINEA,16000,571481,32000,1140662
PH,PHILIPPINES,627570,20643596,9749720,345302425
PT,PORTUGAL,0,0,50000,1778688
RE,REUNION,0,0,2000,74172
RU,RUSSIAN FEDERATION,0,0,413000,15210149
SG,SINGAPORE,67450,3652743,1571850,95628702
ZA,SOUTH AFRICA,0,0,45500,1806442
ES,SPAIN,0,0,1875,64374
LK,SRI LANKA,99000,3536575,981250,36948118
CH,SWITZERLAND,0,0,80,4593
TW,"TAIWAN, PROVINCE OF CHINA",608490,21972167,7015154,292187558
UA,UKRAINE,0,0,2000,72713
US,UNITED STATES,0,0,470045,38895391
VN,VIETNAM,543325,26778530,6175160,334210388
SUM,SUM,53386340,2261339313,494205423,21343720443
