"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2022', 'Quantity')","('Feb 2022', 'FOB (Baht)')","('Jan - Feb 2022', 'Quantity')","('Jan - Feb 2022', 'FOB (Baht)')"
BD,BANGLADESH,0,0,14000,724417
KH,CAMBODIA,15,1000,15,1000
CN,CHINA,1565394,11674865,2634372,17804495
IN,INDIA,115500,4187738,198000,7108547
KR,"KOREA,REPUBLIC OF",85864,422765,225567,1353712
LA,LAO PDR,188,13115,188,13115
MM,MYANMAR,49,10900,184,307000
RE,REUNION,80,5250,80,5250
SG,SINGAPORE,1,1921,2,3964
VN,VIETNAM,28000,1327649,28000,1327649
SUM,SUM,1795091,17645203,3100408,28649149
