"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2015', 'Quantity')","('Jan 2015', 'FOB (Baht)')","('Jan - Jan 2015', 'Quantity')","('Jan - Jan 2015', 'FOB (Baht)')"
AR,ARGENTINA,88000,7005816,88000,7005816
AU,AUSTRALIA,15000,1594343,15000,1594343
BD,BANGLADESH,4100,390291,4100,390291
BE,BELGIUM,104,2641,104,2641
CN,CHINA,501060,35795677,501060,35795677
EG,EGYPT,64000,4486507,64000,4486507
GH,GHANA,16250,493464,16250,493464
IN,INDIA,209450,17972475,209450,17972475
ID,INDONESIA,85000,7658415,85000,7658415
JP,JAPAN,56300,1992968,56300,1992968
KE,KENYA,18000,717057,18000,717057
KR,"KOREA,REPUBLIC OF",2351,114274,2351,114274
MY,MALAYSIA,99950,7028639,99950,7028639
PH,PHILIPPINES,14136,1752493,14136,1752493
SN,SENEGAL,32000,1107586,32000,1107586
SG,SINGAPORE,24750,1181136,24750,1181136
TW,"TAIWAN, PROVINCE OF CHINA",30500,3544337,30500,3544337
AE,UNITED ARAB EMIRATES,16000,244243,16000,244243
US,UNITED STATES,18000,1498767,18000,1498767
VN,VIETNAM,32391,3122209,32391,3122209
SUM,SUM,1327342,97703338,1327342,97703338
