"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2014', 'Quantity')","('Sept 2014', 'FOB (Baht)')","('Jan - Sept 2014', 'Quantity')","('Jan - Sept 2014', 'FOB (Baht)')"
AU,AUSTRALIA,0,0,146480,14650985
BD,BANGLADESH,0,0,12000,1499213
CN,CHINA,331470,18787655,1492825,90194503
CI,COTE D IVOIRE,2500,221732,2500,221732
GH,GHANA,0,0,16500,371250
IN,INDIA,1925,157807,406375,41954880
ID,INDONESIA,0,0,201880,18337935
JP,JAPAN,19800,1804806,39760,3715787
KR,"KOREA,REPUBLIC OF",0,0,880,106861
LA,LAO PDR,0,0,7000,380662
MY,MALAYSIA,8000,525110,155265,13762738
MZ,MOZAMBIQUE,0,0,2000,151386
MM,MYANMAR,3400,189549,29800,1217668
NZ,NEW ZEALAND,0,0,45460,5375573
PK,PAKISTAN,0,0,8750,625551
PH,PHILIPPINES,0,0,19200,1862177
SG,SINGAPORE,0,0,4040,301025
LK,SRI LANKA,0,0,2750,203609
TW,"TAIWAN, PROVINCE OF CHINA",100,24951,38075,3361826
US,UNITED STATES,0,0,1000,2328823
VN,VIETNAM,14100,1528503,76845,10241080
SUM,SUM,381295,23240113,2709385,210865264
