"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2014', 'Quantity')","('Jan 2014', 'FOB (Baht)')","('Jan - Jan 2014', 'Quantity')","('Jan - Jan 2014', 'FOB (Baht)')"
AU,AUSTRALIA,15000,1614533,15000,1614533
BD,BANGLADESH,3650,351783,3650,351783
CN,CHINA,656850,38905177,656850,38905177
CI,COTE D IVOIRE,32500,975644,32500,975644
IN,INDIA,148702,12713869,148702,12713869
ID,INDONESIA,7189,1092199,7189,1092199
JP,JAPAN,3451,783507,3451,783507
KR,"KOREA,REPUBLIC OF",22000,2343070,22000,2343070
LA,LAO PDR,50,6534,50,6534
MY,MALAYSIA,64060,3310703,64060,3310703
MM,MYANMAR,18500,911850,18500,911850
ZA,SOUTH AFRICA,17000,545844,17000,545844
TW,"TAIWAN, PROVINCE OF CHINA",69020,4268032,69020,4268032
VN,VIETNAM,2000,127040,2000,127040
SUM,SUM,1059972,67949785,1059972,67949785
