"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Nov 2013', 'Quantity')","('Nov 2013', 'FOB (Baht)')","('Jan - Nov 2013', 'Quantity')","('Jan - Nov 2013', 'FOB (Baht)')"
CN,CHINA,0,0,15650,988366
FR,FRANCE,0,0,2,59
HK,HONG KONG,0,0,100,5991
IN,INDIA,0,0,200,5960
ID,INDONESIA,59293,4153226,809668,55668857
JP,JAPAN,100,2510,14255,1087745
KR,"KOREA,REPUBLIC OF",0,0,1200,97368
MY,MALAYSIA,28600,1952535,336950,22295904
SG,SINGAPORE,0,0,1,102
ZA,SOUTH AFRICA,800,74453,68800,5551246
TW,"TAIWAN, PROVINCE OF CHINA",500,35139,3850,239737
US,UNITED STATES,0,0,4,118
VN,VIETNAM,0,0,1600,431475
SUM,SUM,89293,6217863,1252280,86372928
