"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2018', 'Quantity')","('Oct 2018', 'FOB (Baht)')","('Jan - Oct 2018', 'Quantity')","('Jan - Oct 2018', 'FOB (Baht)')"
AU,AUSTRALIA,39000,1961976,171000,8482982
BD,BANGLADESH,0,0,1088000,53554464
KH,CAMBODIA,0,0,1320,132605
CN,CHINA,4897900,245996706,62918625,3186688188
IN,INDIA,2095000,107096088,22779075,1147674842
ID,INDONESIA,373000,18437516,1053125,52977024
JP,JAPAN,0,0,12010,717738
LA,LAO PDR,31,57495,324,523399
MY,MALAYSIA,1000,50013,76722,4658605
MU,MAURITIUS,0,0,4500,222417
MX,MEXICO,0,0,52000,1150535
PK,PAKISTAN,41500,2121504,198500,10101394
PH,PHILIPPINES,6750,507180,65075,3656211
SA,SAUDI ARABIA,0,0,24000,1214313
SC,SEYCHELLES,0,0,970,24375
SG,SINGAPORE,2000,138756,18400,1007077
LK,SRI LANKA,0,0,153000,7653872
TW,"TAIWAN, PROVINCE OF CHINA",0,0,72025,4304380
US,UNITED STATES,38000,1955685,152000,7659107
VN,VIETNAM,161700,8292792,1157646,57981587
SUM,SUM,7655881,386615711,89998317,4550385115
