"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2021', 'Quantity')","('Jan 2021', 'FOB (Baht)')","('Jan - Jan 2021', 'Quantity')","('Jan - Jan 2021', 'FOB (Baht)')"
AU,AUSTRALIA,45000,871826,45000,871826
BD,BANGLADESH,3625,554890,3625,554890
BE,BELGIUM,168000,15876748,168000,15876748
CN,CHINA,260147,15308107,260147,15308107
EG,EGYPT,24000,1277762,24000,1277762
IN,INDIA,327780,24330627,327780,24330627
ID,INDONESIA,167450,10798785,167450,10798785
JP,JAPAN,63704,4048017,63704,4048017
MY,MALAYSIA,49000,4593676,49000,4593676
MM,MYANMAR,20,596,20,596
PH,PHILIPPINES,31070,1966282,31070,1966282
SA,SAUDI ARABIA,73875,5249243,73875,5249243
TW,"TAIWAN, PROVINCE OF CHINA",16950,1340137,16950,1340137
AE,UNITED ARAB EMIRATES,48000,4550909,48000,4550909
US,UNITED STATES,500,34724,500,34724
VN,VIETNAM,46314,2993835,46314,2993835
SUM,SUM,1325435,93796164,1325435,93796164
