"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2021', 'Quantity')","('May 2021', 'FOB (Baht)')","('Jan - May 2021', 'Quantity')","('Jan - May 2021', 'FOB (Baht)')"
AR,ARGENTINA,0,0,28500,1736001
AU,AUSTRALIA,4508,402491,126688,2934042
BD,BANGLADESH,24750,1976090,187750,16030589
BE,BELGIUM,288000,29066269,888000,84660871
KH,CAMBODIA,79084,9798412,218103,30938604
CN,CHINA,435738,42293974,1133541,90539623
EG,EGYPT,0,0,120000,6752460
DE,GERMANY,1600,72000,1600,72000
GN,GUINEA,0,0,54000,1170195
IN,INDIA,420200,30706437,2916920,199811160
ID,INDONESIA,62925,5278764,843615,59858694
JP,JAPAN,89934,6470653,260490,19378977
KR,"KOREA,REPUBLIC OF",22375,2151784,22975,2156068
LA,LAO PDR,34,9351,138,34866
MY,MALAYSIA,27175,2661143,207473,20106226
MU,MAURITIUS,32400,783531,32400,783531
MX,MEXICO,0,0,16000,874149
MM,MYANMAR,600,64740,2351,252181
PK,PAKISTAN,0,0,20625,1773230
PH,PHILIPPINES,53000,3720726,161070,11077987
SA,SAUDI ARABIA,0,0,135550,9099780
SG,SINGAPORE,0,0,20,2000
ZA,SOUTH AFRICA,14000,1238224,21100,1825320
LK,SRI LANKA,0,0,16000,377485
TW,"TAIWAN, PROVINCE OF CHINA",47900,5196218,192900,18151713
AE,UNITED ARAB EMIRATES,60000,1437961,193000,8984470
US,UNITED STATES,0,0,500,34724
VN,VIETNAM,24059,1827965,143478,9643273
SUM,SUM,1688282,145156733,7944787,599060219
