"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2021', 'Quantity')","('Oct 2021', 'FOB (Baht)')","('Jan - Oct 2021', 'Quantity')","('Jan - Oct 2021', 'FOB (Baht)')"
AU,AUSTRALIA,0,0,60015,4895915
BD,BANGLADESH,432000,37694228,1316000,111165533
CN,CHINA,8336300,754357283,80173942,6156674176
DE,GERMANY,0,0,75,6412
IN,INDIA,1683000,158681974,11744400,913712548
ID,INDONESIA,32864,3016944,761539,61685677
JP,JAPAN,4800,565625,17200,1714233
KR,"KOREA,REPUBLIC OF",5425,617911,5425,617911
LA,LAO PDR,0,0,1063,272556
MY,MALAYSIA,228100,23279547,1129026,98206479
PK,PAKISTAN,17000,1588184,223500,18100653
PH,PHILIPPINES,0,0,43945,4311215
SA,SAUDI ARABIA,0,0,24000,1645753
SG,SINGAPORE,3000,311700,27400,2217401
TW,"TAIWAN, PROVINCE OF CHINA",0,0,5000,383252
TR,TÜRKIYE,72000,6537448,96000,8518314
AE,UNITED ARAB EMIRATES,0,0,48000,4129739
US,UNITED STATES,38000,3446838,151000,12135038
VN,VIETNAM,0,0,1287600,111085200
SUM,SUM,10852489,990097682,97115130,7511478005
