"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2016', 'Quantity')","('Feb 2016', 'FOB (Baht)')","('Jan - Feb 2016', 'Quantity')","('Jan - Feb 2016', 'FOB (Baht)')"
AU,AUSTRALIA,79975,6283370,190995,14776550
BD,BANGLADESH,59400,4039956,59940,4127142
BE,BELGIUM,39600,2869352,39600,2869352
CN,CHINA,13884715,922525103,21275618,1408890531
FJ,FIJI,100,14918,15500,677631
DE,GERMANY,19800,1404657,19800,1404657
HK,HONG KONG,125700,7615827,187800,12251746
IN,INDIA,1619125,89329973,2625245,150972017
ID,INDONESIA,463175,33271401,744125,54587849
JP,JAPAN,3187425,200941239,5952047,376481189
KR,"KOREA,REPUBLIC OF",577900,43029623,1690840,125402210
LA,LAO PDR,2400,132206,31425,1007737
MY,MALAYSIA,184800,13879917,366900,27748325
MU,MAURITIUS,34000,881375,34000,881375
MM,MYANMAR,450,15000,450,15000
NZ,NEW ZEALAND,28050,2360383,28050,2360383
PG,PAPUA NEW GUINEA,50,7459,50,7459
PH,PHILIPPINES,8500,811848,89600,5301228
SG,SINGAPORE,158700,12290733,418500,30929934
ZA,SOUTH AFRICA,5700,970194,5700,970194
LK,SRI LANKA,0,0,18500,448667
TW,"TAIWAN, PROVINCE OF CHINA",443425,27586076,687050,42141848
US,UNITED STATES,2,504,20002,1393636
VN,VIETNAM,605065,47432250,1081115,84075768
SUM,SUM,21528057,1417693364,35582852,2349722428
