"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2017', 'Quantity')","('Feb 2017', 'FOB (Baht)')","('Jan - Feb 2017', 'Quantity')","('Jan - Feb 2017', 'FOB (Baht)')"
BD,BANGLADESH,323000,16597271,374000,19251575
CN,CHINA,6290000,332605623,12155000,645220815
IN,INDIA,221000,11406701,913000,47264772
ID,INDONESIA,61000,3281564,85000,4564870
LA,LAO PDR,42,69230,66,126733
MY,MALAYSIA,21,4883,164,23940
PK,PAKISTAN,0,0,67000,3519466
PH,PHILIPPINES,0,0,51000,2724886
SG,SINGAPORE,0,0,2000,239907
LK,SRI LANKA,0,0,51000,2704568
VN,VIETNAM,30000,1617210,60000,3261980
SUM,SUM,6925063,365582482,13758230,728903512
