"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2016', 'Quantity')","('Sept 2016', 'FOB (Baht)')","('Jan - Sept 2016', 'Quantity')","('Jan - Sept 2016', 'FOB (Baht)')"
CN,CHINA,0,0,2300,146446
DE,GERMANY,1225,20704,1225,20704
HK,HONG KONG,0,0,674,97651
ID,INDONESIA,0,0,11500,780943
JP,JAPAN,1000,32655,1000,32655
MY,MALAYSIA,0,0,25,2023
MM,MYANMAR,0,0,39000,1571050
PH,PHILIPPINES,350,20397,700,40957
SG,SINGAPORE,1,71,595,34068
CH,SWITZERLAND,20,711,20,711
US,UNITED STATES,0,0,1,177
VN,VIETNAM,0,0,3000,193649
SUM,SUM,2596,74538,60040,2921034
