"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2021', 'Quantity')","('Sept 2021', 'FOB (Baht)')","('Jan - Sept 2021', 'Quantity')","('Jan - Sept 2021', 'FOB (Baht)')"
AU,AUSTRALIA,0,0,32000,1146315
BH,BAHRAIN,0,0,102000,3747035
CA,CANADA,0,0,48000,1913371
CN,CHINA,0,0,216250,5736626
DO,DOMINICAN REPUBLIC,0,0,21700,795431
IN,INDIA,50,1839,624,319608
JP,JAPAN,0,0,500,20336
MY,MALAYSIA,0,0,25600,763034
MM,MYANMAR,31000,806000,74100,2019348
NZ,NEW ZEALAND,0,0,48450,2159808
ZA,SOUTH AFRICA,28700,1730200,681600,32046360
TW,"TAIWAN, PROVINCE OF CHINA",0,0,51000,1904579
AE,UNITED ARAB EMIRATES,0,0,51000,1829512
US,UNITED STATES,0,0,8675,3112986
SUM,SUM,59750,2538039,1361499,57514349
