"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2023', 'Quantity')","('Mar 2023', 'FOB (Baht)')","('Jan - Mar 2023', 'Quantity')","('Jan - Mar 2023', 'FOB (Baht)')"
AU,AUSTRALIA,823480,40149232,2199140,97427607
BD,BANGLADESH,368500,16923128,849500,35013429
BE,BELGIUM,316800,30114736,514800,46939071
CM,CAMEROON,16500,740457,49500,2118723
CN,CHINA,39878880,2816746445,94089242,6555011646
FJ,FIJI,0,0,30000,1250059
IN,INDIA,1497720,110923511,4308670,300058624
ID,INDONESIA,7651745,329161174,20483455,859641716
IR,IRAN (ISLAMIC REPUBLIC OF),123750,5485403,173250,8677389
JP,JAPAN,5787055,318334135,16025195,893495666
KZ,KAZAKHSTAN,0,0,15500,617022
KR,"KOREA,REPUBLIC OF",545100,48897754,1476100,131100801
LT,LITHUANIA,198000,8675376,946000,37891283
MY,MALAYSIA,774800,36376145,1856775,89483222
MM,MYANMAR,104000,4183391,270500,10307244
NZ,NEW ZEALAND,134170,5696701,586460,26600064
PK,PAKISTAN,51000,2141702,76500,3231722
PH,PHILIPPINES,746500,31203214,3114500,122634957
PT,PORTUGAL,0,0,148500,5750514
RE,REUNION,0,0,4000,163196
RU,RUSSIAN FEDERATION,0,0,95000,3620283
SG,SINGAPORE,137500,6126667,682700,56630126
LK,SRI LANKA,0,0,25500,882234
TW,"TAIWAN, PROVINCE OF CHINA",758100,35577918,2126160,100002594
AE,UNITED ARAB EMIRATES,198000,7865224,396000,15198030
US,UNITED STATES,238,19298,242,19559
VN,VIETNAM,2124900,190541248,3990350,308825853
YE,YEMEN,0,0,33000,1410568
SUM,SUM,62236738,4045882859,154566539,9714003202
