"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jul 2019', 'Quantity')","('Jul 2019', 'FOB (Baht)')","('Jan - Jul 2019', 'Quantity')","('Jan - Jul 2019', 'FOB (Baht)')"
CN,CHINA,9575,1006938,81363,6769618
HK,HONG KONG,0,0,7400,381700
IN,INDIA,550,128973,2050,336128
ID,INDONESIA,13500,1803657,145800,19777620
JP,JAPAN,100,3309,300,16566
KR,"KOREA,REPUBLIC OF",0,0,112000,12093748
LA,LAO PDR,0,0,94220,3772194
MX,MEXICO,0,0,25,4642
PK,PAKISTAN,7800,537919,99325,8148462
PH,PHILIPPINES,3775,198520,116000,6213367
US,UNITED STATES,0,0,5500,284698
VN,VIETNAM,10000,497265,224375,11223829
SUM,SUM,45300,4176581,888358,69022572
