"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2018', 'Quantity')","('Mar 2018', 'FOB (Baht)')","('Jan - Mar 2018', 'Quantity')","('Jan - Mar 2018', 'FOB (Baht)')"
BD,BANGLADESH,0,0,62500,2237986
BN,BRUNEI DARUSSALAM,0,0,5000,209186
CN,CHINA,10450,2485288,10450,2485288
IN,INDIA,16000,908762,34000,1942790
ID,INDONESIA,567000,24373929,1511000,65963793
JP,JAPAN,79,15836,704,47812
PK,PAKISTAN,0,0,2800,277980
SG,SINGAPORE,0,0,11,1106
TW,"TAIWAN, PROVINCE OF CHINA",13,8930,39,23070
TR,TÜRKIYE,1800,138587,3000,229618
US,UNITED STATES,3700,279106,7400,562125
SUM,SUM,599042,28210438,1636904,73980754
