"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2023', 'Quantity')","('Mar 2023', 'FOB (Baht)')","('Jan - Mar 2023', 'Quantity')","('Jan - Mar 2023', 'FOB (Baht)')"
AU,AUSTRALIA,21290,2616069,89637,9533398
BD,BANGLADESH,500,30545,500,30545
BE,BELGIUM,0,0,28000,127907
KH,CAMBODIA,30000,1350253,45000,1740253
CA,CANADA,23985,1309108,23990,1309434
CN,CHINA,12409548,308062636,29977313,545397048
DK,DENMARK,0,0,5,346
DJ,DJIBOUTI,297531,1420300,808031,3752323
FJ,FIJI,0,0,500,86438
FR,FRANCE,0,0,25,31
DE,GERMANY,0,0,0,35
HK,HONG KONG,374926,9235143,1595793,40404635
IN,INDIA,617151,22456933,1529198,48252682
ID,INDONESIA,198184,8747517,654814,30405153
IT,ITALY,0,0,1,69
JP,JAPAN,8667,1105456,75628,8579292
KE,KENYA,0,0,19000,86794
KR,"KOREA,REPUBLIC OF",107545,518900,277254,1476390
LA,LAO PDR,4672,353773,15672,881773
MY,MALAYSIA,125440,7621371,438280,23903886
MV,MALDIVES,0,0,660,52207
MU,MAURITIUS,1000,174155,34000,970965
NL,NETHERLANDS,10,682,35,2411
NZ,NEW ZEALAND,12,818,12,818
PH,PHILIPPINES,0,0,13180,1204186
SG,SINGAPORE,12437,1315398,22637,2801253
SI,SLOVENIA,137930,6277644,137930,6277644
ES,SPAIN,0,0,100,1686
TW,"TAIWAN, PROVINCE OF CHINA",28800,1361493,394180,13351769
TR,TÜRKIYE,12500,2018253,21500,3205007
AE,UNITED ARAB EMIRATES,3000,485886,3000,485886
GB,UNITED KINGDOM,26102,124728,26102,124728
US,UNITED STATES,2268,460060,25816,2337196
VN,VIETNAM,71815,2323594,166255,7012819
SUM,SUM,14515313,379370715,36424048,753797007
