"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2013', 'Quantity')","('Apr 2013', 'FOB (Baht)')","('Jan - Apr 2013', 'Quantity')","('Jan - Apr 2013', 'FOB (Baht)')"
AU,AUSTRALIA,600,41186,3815,366022
KH,CAMBODIA,55138,11050500,185231,37126500
CA,CANADA,0,0,3000,106331
CN,CHINA,5000,518733,7000,775807
GH,GHANA,1,29,1,29
HK,HONG KONG,25,118189,5608,730510
ID,INDONESIA,75,14088,20075,368526
JP,JAPAN,0,0,63802,8082382
KE,KENYA,0,0,14250,883879
KR,"KOREA,REPUBLIC OF",0,0,47,4350
LA,LAO PDR,0,0,125,11500
MY,MALAYSIA,0,29,0,29
NG,NIGERIA,0,0,15000,956837
PK,PAKISTAN,5000,516115,5000,516115
PH,PHILIPPINES,0,0,640,84330
SG,SINGAPORE,10214,721148,13656,1450777
LK,SRI LANKA,0,0,28000,1650052
TW,"TAIWAN, PROVINCE OF CHINA",0,0,31,2930
AE,UNITED ARAB EMIRATES,0,145,0,145
GB,UNITED KINGDOM,0,0,16,3372
US,UNITED STATES,0,0,44,72128
VN,VIETNAM,1500,105113,1758,130519
ZW,ZIMBABWE,0,0,150,2953
SUM,SUM,77553,13085275,367249,53326023
