"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2015', 'Quantity')","('Sept 2015', 'FOB (Baht)')","('Jan - Sept 2015', 'Quantity')","('Jan - Sept 2015', 'FOB (Baht)')"
AU,AUSTRALIA,5,3279,5005,440808
BD,BANGLADESH,0,0,32000,1094533
CN,CHINA,775285,41828611,2381979,130273593
GH,GHANA,1000,81671,1000,81671
IN,INDIA,1000,150904,92980,5191391
ID,INDONESIA,0,0,48725,4329636
JP,JAPAN,0,0,50225,3894485
KE,KENYA,19000,681475,71000,2495070
KR,"KOREA,REPUBLIC OF",0,0,125,13400
MY,MALAYSIA,398,46318,19154,1739521
MM,MYANMAR,0,0,3350,206038
NZ,NEW ZEALAND,0,0,20625,1469970
PK,PAKISTAN,0,0,16000,612174
SG,SINGAPORE,0,0,6000,416548
LK,SRI LANKA,0,0,111,25685
TW,"TAIWAN, PROVINCE OF CHINA",0,0,14275,543868
VN,VIETNAM,0,0,12350,1037928
SUM,SUM,796688,42792258,2774904,153866319
