"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2012', 'Quantity')","('Jan 2012', 'FOB (Baht)')","('Jan - Jan 2012', 'Quantity')","('Jan - Jan 2012', 'FOB (Baht)')"
BD,BANGLADESH,68000,3011131,68000,3011131
CN,CHINA,12000,848951,12000,848951
DJ,DJIBOUTI,34000,1531031,34000,1531031
ID,INDONESIA,50500,2524586,50500,2524586
JP,JAPAN,47382,2505404,47382,2505404
MM,MYANMAR,200,17244,200,17244
PK,PAKISTAN,50,4953,50,4953
PH,PHILIPPINES,51000,2306299,51000,2306299
VN,VIETNAM,73860,5013730,73860,5013730
SUM,SUM,336992,17763329,336992,17763329
