"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2016', 'Quantity')","('Sept 2016', 'FOB (Baht)')","('Jan - Sept 2016', 'Quantity')","('Jan - Sept 2016', 'FOB (Baht)')"
BD,BANGLADESH,0,0,16750,409195
BN,BRUNEI DARUSSALAM,7000,289982,34000,1385083
KH,CAMBODIA,0,0,5000,267947
CN,CHINA,0,0,100,104
HK,HONG KONG,0,0,2150,113858
IN,INDIA,1000,58779,4403,322928
ID,INDONESIA,515000,23806508,3980050,192921888
JP,JAPAN,175,22256,3500,184284
KR,"KOREA,REPUBLIC OF",25400,873102,114400,4289691
MY,MALAYSIA,0,0,29050,1941121
PK,PAKISTAN,11000,955597,67575,6311804
SG,SINGAPORE,0,0,50,1748
ZA,SOUTH AFRICA,0,0,14,100
TW,"TAIWAN, PROVINCE OF CHINA",0,0,876,62631
US,UNITED STATES,0,0,997,156119
VN,VIETNAM,50000,2320250,201000,8093236
SUM,SUM,609575,28326474,4459915,216461737
