"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Aug 2022', 'Quantity')","('Aug 2022', 'FOB (Baht)')","('Jan - Aug 2022', 'Quantity')","('Jan - Aug 2022', 'FOB (Baht)')"
CN,CHINA,51994,3867364,226494,19315881
IN,INDIA,34500,2139320,557800,72954125
ID,INDONESIA,56000,5786514,343700,38464502
KR,"KOREA,REPUBLIC OF",0,0,7000,861345
MX,MEXICO,24750,1278869,99000,5681770
NZ,NEW ZEALAND,0,0,12000,1363335
PK,PAKISTAN,0,0,2000,257998
PH,PHILIPPINES,0,0,22,7600
VN,VIETNAM,0,0,10000,767576
SUM,SUM,167244,13072067,1258016,139674132
