"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jul 2017', 'Quantity')","('Jul 2017', 'FOB (Baht)')","('Jan - Jul 2017', 'Quantity')","('Jan - Jul 2017', 'FOB (Baht)')"
CN,CHINA,25300,918620,251625,10455362
HK,HONG KONG,16000,569008,168000,6790348
IN,INDIA,0,0,130000,6129254
ID,INDONESIA,105800,4771237,828366,39375862
JP,JAPAN,25500,1165123,28800,1502598
MX,MEXICO,0,0,45000,2152936
PK,PAKISTAN,2850,332461,2850,332461
PH,PHILIPPINES,0,0,16000,1223199
VN,VIETNAM,85000,3849832,500000,23655924
SUM,SUM,260450,11606281,1970641,91617944
