"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Aug 2021', 'Quantity')","('Aug 2021', 'FOB (Baht)')","('Jan - Aug 2021', 'Quantity')","('Jan - Aug 2021', 'FOB (Baht)')"
AU,AUSTRALIA,21600,3111977,139200,19040218
CN,CHINA,717000,14461274,9738612,123457931
IN,INDIA,0,0,34000,1457182
ID,INDONESIA,3500,266155,9034,658075
JP,JAPAN,102000,4505911,821625,34288486
KR,"KOREA,REPUBLIC OF",8100,598798,30300,2135580
MY,MALAYSIA,0,0,900,97730
TW,"TAIWAN, PROVINCE OF CHINA",80,14261,80,14261
TR,TÜRKIYE,525,61527,33525,2336547
VN,VIETNAM,50,4663,150650,11611470
SUM,SUM,852855,23024566,10957926,195097480
