"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Nov 2013', 'Quantity')","('Nov 2013', 'FOB (Baht)')","('Jan - Nov 2013', 'Quantity')","('Jan - Nov 2013', 'FOB (Baht)')"
AR,ARGENTINA,58500,4236712,327300,23537455
AU,AUSTRALIA,0,0,490,192404
CN,CHINA,0,0,17900,840427
GH,GHANA,0,0,16250,463164
IN,INDIA,5500,253645,5500,253645
ID,INDONESIA,21425,1443927,364090,22858036
JP,JAPAN,103,15279,9518,832107
KE,KENYA,0,0,16250,551753
KR,"KOREA,REPUBLIC OF",0,0,50,9946
MW,MALAWI,0,0,26000,701221
MY,MALAYSIA,0,0,225,42143
PK,PAKISTAN,0,0,900,69244
ZA,SOUTH AFRICA,1700,206630,1700,206630
TW,"TAIWAN, PROVINCE OF CHINA",0,0,350,33820
VN,VIETNAM,39000,2308232,826765,48253182
SUM,SUM,126228,8464425,1613288,98845177
