"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2014', 'Quantity')","('Apr 2014', 'FOB (Baht)')","('Jan - Apr 2014', 'Quantity')","('Jan - Apr 2014', 'FOB (Baht)')"
BD,BANGLADESH,2500,155026,2500,155026
CN,CHINA,0,0,100,3938
HK,HONG KONG,0,0,2294,168482
IN,INDIA,0,0,2200,140472
ID,INDONESIA,448000,23937879,1419000,70671296
JP,JAPAN,2200,70529,6000,1354524
MY,MALAYSIA,20000,1664900,56100,4687779
TW,"TAIWAN, PROVINCE OF CHINA",900,98868,900,98868
US,UNITED STATES,1005,145309,1005,145309
VN,VIETNAM,25000,670674,100000,2716428
SUM,SUM,499605,26743185,1590099,80142122
