"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2019', 'Quantity')","('Jan 2019', 'FOB (Baht)')","('Jan - Jan 2019', 'Quantity')","('Jan - Jan 2019', 'FOB (Baht)')"
AU,AUSTRALIA,456080,22222051,456080,22222051
BD,BANGLADESH,569750,21436847,569750,21436847
BT,BHUTAN,74250,2664411,74250,2664411
CN,CHINA,22661310,1067290506,22661310,1067290506
HK,HONG KONG,49850,3497706,49850,3497706
IN,INDIA,1882620,79508019,1882620,79508019
ID,INDONESIA,5090940,199361546,5090940,199361546
JP,JAPAN,7470500,324745558,7470500,324745558
KR,"KOREA,REPUBLIC OF",620250,36614816,620250,36614816
MY,MALAYSIA,983450,39971136,983450,39971136
NP,NEPAL,19800,1158825,19800,1158825
NZ,NEW ZEALAND,282100,12885166,282100,12885166
PK,PAKISTAN,297000,11751167,297000,11751167
PH,PHILIPPINES,1939950,68896725,1939950,68896725
RU,RUSSIAN FEDERATION,93000,3581521,93000,3581521
SG,SINGAPORE,198275,12480787,198275,12480787
ZA,SOUTH AFRICA,45500,1806442,45500,1806442
LK,SRI LANKA,61750,2538365,61750,2538365
TW,"TAIWAN, PROVINCE OF CHINA",454950,19827058,454950,19827058
US,UNITED STATES,18750,1867276,18750,1867276
VN,VIETNAM,333100,18335203,333100,18335203
SUM,SUM,43603175,1952441131,43603175,1952441131
