"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2014', 'Quantity')","('Apr 2014', 'FOB (Baht)')","('Jan - Apr 2014', 'Quantity')","('Jan - Apr 2014', 'FOB (Baht)')"
CN,CHINA,2025,136193,2025,136193
IN,INDIA,0,0,50,5486
ID,INDONESIA,100,15228,194891,14255281
JP,JAPAN,500,65471,900,130475
MY,MALAYSIA,14000,989981,84000,6018029
NL,NETHERLANDS,105,30770,105,30770
ZA,SOUTH AFRICA,775,80147,18775,1571525
TW,"TAIWAN, PROVINCE OF CHINA",0,0,500,3225
VN,VIETNAM,0,0,400,167354
SUM,SUM,17505,1317790,301646,22318338
