"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Nov 2016', 'Quantity')","('Nov 2016', 'FOB (Baht)')","('Jan - Nov 2016', 'Quantity')","('Jan - Nov 2016', 'FOB (Baht)')"
BE,BELGIUM,0,0,24375,1043220
KH,CAMBODIA,9000,491400,325825,17825791
CN,CHINA,0,0,140000,8176941
DE,GERMANY,0,0,200,11029
IN,INDIA,370,262388,102634,4452069
ID,INDONESIA,10000,1342581,18875,2494193
IT,ITALY,0,0,25175,1090506
JP,JAPAN,0,0,3000,180000
LA,LAO PDR,0,0,32500,404300
MY,MALAYSIA,66115,3831222,447681,26137306
PH,PHILIPPINES,2409,136553,18026,1049422
SG,SINGAPORE,0,0,22098,1311619
SK,SLOVAKIA,0,0,97500,4160784
SE,SWEDEN,0,0,50375,2136733
VN,VIETNAM,0,0,44989,1574861
SUM,SUM,87894,6064144,1353253,72048774
