"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2016', 'Quantity')","('Mar 2016', 'FOB (Baht)')","('Jan - Mar 2016', 'Quantity')","('Jan - Mar 2016', 'FOB (Baht)')"
AU,AUSTRALIA,2000,168551,2000,168551
BD,BANGLADESH,32000,1041437,32000,1041437
KH,CAMBODIA,1500,81450,1500,81450
CN,CHINA,179790,9785766,462750,22429606
ET,ETHIOPIA,102000,3059787,102000,3059787
JP,JAPAN,19800,1943542,21900,2042102
MY,MALAYSIA,0,0,97000,1425190
MM,MYANMAR,5000,219624,5000,219624
SG,SINGAPORE,0,0,5000,275023
LK,SRI LANKA,0,0,9,5040
SUM,SUM,342090,16300157,729159,30747810
