"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2016', 'Quantity')","('Feb 2016', 'FOB (Baht)')","('Jan - Feb 2016', 'Quantity')","('Jan - Feb 2016', 'FOB (Baht)')"
DZ,ALGERIA,17000,566021,17000,566021
AO,ANGOLA,0,0,289000,10613809
AR,ARGENTINA,318000,25029365,790300,55906719
AU,AUSTRALIA,1340910,52190559,2558290,103323528
AT,AUSTRIA,0,0,34500,1188655
BD,BANGLADESH,1594750,58041599,3217500,119808050
BR,BRAZIL,364700,16827766,1012200,42407163
KH,CAMBODIA,9000,403747,74375,2805741
CA,CANADA,0,0,150500,5324296
CL,CHILE,0,0,17000,627569
CN,CHINA,17438255,585588612,30960605,1039923896
CO,COLOMBIA,17000,576242,17000,576242
CG,CONGO,238000,8577879,323000,11482626
CI,COTE D IVOIRE,102000,3507139,272000,9237742
DJ,DJIBOUTI,136000,4627220,136000,4627220
EC,ECUADOR,49500,1677151,270500,9528439
ET,ETHIOPIA,204000,6696984,204000,6696984
GA,GABON,17000,582543,17000,582543
GE,GEORGIA,34000,1213552,34000,1213552
GH,GHANA,628500,21189701,824000,27906125
GN,GUINEA,187000,6495130,222500,7768199
HK,HONG KONG,228100,9291305,360100,13903666
IN,INDIA,2185338,80891753,3990588,149472805
ID,INDONESIA,2772900,130160144,6391500,302361467
IL,ISRAEL,0,0,46000,1745248
JP,JAPAN,2008336,71013824,2838496,102227272
KE,KENYA,17000,572321,629000,21660798
KR,"KOREA,REPUBLIC OF",22025,2849290,23025,3033723
LA,LAO PDR,320,71916,420,99245
MG,MADAGASCAR,88000,3009308,88000,3009308
MY,MALAYSIA,652850,28285177,1414660,60561378
MU,MAURITIUS,69500,2487289,135500,5057046
MX,MEXICO,622175,20649136,1399175,46628349
MZ,MOZAMBIQUE,102000,3315598,187500,6448285
MM,MYANMAR,187000,6214837,323000,10881019
NL,NETHERLANDS,30000,1240285,60000,2508802
NZ,NEW ZEALAND,105250,3988195,169250,6466183
NG,NIGERIA,748000,25396531,2091000,75217993
PK,PAKISTAN,476847,30577485,1108947,69247453
PG,PAPUA NEW GUINEA,500,18722,500,18722
PE,PERU,51000,1748709,51000,1748709
PH,PHILIPPINES,1646750,60477115,2746243,106112110
QA,QATAR,0,0,204000,9718191
RU,RUSSIAN FEDERATION,300,11988,300,11988
SA,SAUDI ARABIA,240,8640,51240,2417817
SN,SENEGAL,68000,2369845,102000,3594142
ZA,SOUTH AFRICA,334300,24450365,635600,44028371
ES,SPAIN,11,360,11,360
LK,SRI LANKA,90800,3047710,262300,9222264
TW,"TAIWAN, PROVINCE OF CHINA",57400,4099986,99350,7075820
TZ,TANZANIA UNITED REPUBLIC OF,136000,4564214,577000,19899853
TG,TOGO,0,0,34000,1136438
TR,TÜRKIYE,308000,11204449,455000,16612225
AE,UNITED ARAB EMIRATES,0,0,99000,3251167
US,UNITED STATES,436050,16428050,436050,16428050
VN,VIETNAM,1576550,63340168,2834700,117658115
SUM,SUM,37717157,1405575925,71285725,2701579501
