"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jul 2022', 'Quantity')","('Jul 2022', 'FOB (Baht)')","('Jan - Jul 2022', 'Quantity')","('Jan - Jul 2022', 'FOB (Baht)')"
AU,AUSTRALIA,7000,762906,73980,7265306
CN,CHINA,143075,2179078,633975,18584675
HK,HONG KONG,0,0,1,41
IN,INDIA,4000,439370,27350,2100236
ID,INDONESIA,0,0,414,336717
LA,LAO PDR,550,29000,4704,434034
MY,MALAYSIA,0,0,1000,65515
NZ,NEW ZEALAND,575,63380,675,70644
PH,PHILIPPINES,350,39638,350,39638
SG,SINGAPORE,0,0,7000,1065106
TW,"TAIWAN, PROVINCE OF CHINA",0,0,36000,1371202
VN,VIETNAM,3400,372353,6400,694694
SUM,SUM,158950,3885725,791849,32027808
