"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2023', 'Quantity')","('Feb 2023', 'FOB (Baht)')","('Jan - Feb 2023', 'Quantity')","('Jan - Feb 2023', 'FOB (Baht)')"
AU,AUSTRALIA,26067,2035660,68347,6917329
BE,BELGIUM,28000,127907,28000,127907
KH,CAMBODIA,15000,390000,15000,390000
CA,CANADA,5,326,5,326
CN,CHINA,9956507,115938471,17567765,237334412
DK,DENMARK,0,0,5,346
DJ,DJIBOUTI,510500,2332023,510500,2332023
FJ,FIJI,0,0,500,86438
FR,FRANCE,0,0,25,31
DE,GERMANY,0,0,0,35
HK,HONG KONG,376400,9676159,1220867,31169492
IN,INDIA,511697,14174008,912047,25795749
ID,INDONESIA,280030,12586423,456630,21657636
IT,ITALY,0,0,1,69
JP,JAPAN,36666,3918894,66961,7473836
KE,KENYA,19000,86794,19000,86794
KR,"KOREA,REPUBLIC OF",168500,776208,169709,957490
LA,LAO PDR,11000,528000,11000,528000
MY,MALAYSIA,123235,8729222,312840,16282515
MV,MALDIVES,660,52207,660,52207
MU,MAURITIUS,33000,796810,33000,796810
NL,NETHERLANDS,0,0,25,1729
PH,PHILIPPINES,0,0,13180,1204186
SG,SINGAPORE,2200,234932,10200,1485855
ES,SPAIN,0,0,100,1686
TW,"TAIWAN, PROVINCE OF CHINA",103777,4576608,365380,11990276
TR,TÜRKIYE,9000,1186754,9000,1186754
US,UNITED STATES,2276,441684,23548,1877136
VN,VIETNAM,23205,2602074,94440,4689225
SUM,SUM,12236725,181191164,21908735,374426292
