"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2019', 'Quantity')","('Apr 2019', 'FOB (Baht)')","('Jan - Apr 2019', 'Quantity')","('Jan - Apr 2019', 'FOB (Baht)')"
AU,AUSTRALIA,0,0,50,29095
CN,CHINA,26300,557485,467121,10813979
DE,GERMANY,37,5057,44,5608
IN,INDIA,96000,3704206,469000,19292738
ID,INDONESIA,0,0,379,511836
IT,ITALY,74,10114,74,10114
JP,JAPAN,37,5057,196,44425
KR,"KOREA,REPUBLIC OF",0,0,166,195
LA,LAO PDR,9627,1148091,51825,4956018
MY,MALAYSIA,0,0,0,327
MM,MYANMAR,0,0,256,106000
SG,SINGAPORE,0,0,2000,123502
ZA,SOUTH AFRICA,0,0,52,14953
LK,SRI LANKA,0,0,9000,445445
TZ,TANZANIA UNITED REPUBLIC OF,0,0,10000,510406
SUM,SUM,132075,5430010,1010163,36864641
