"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2018', 'Quantity')","('Sept 2018', 'FOB (Baht)')","('Jan - Sept 2018', 'Quantity')","('Jan - Sept 2018', 'FOB (Baht)')"
CN,CHINA,11000,795693,92675,9912667
HK,HONG KONG,800,55399,7000,431863
IN,INDIA,3000,340805,26500,2727130
ID,INDONESIA,13000,1870568,166450,23516453
JP,JAPAN,2900,232439,13822,1154884
KR,"KOREA,REPUBLIC OF",36000,3551968,300400,28694607
LA,LAO PDR,20554,993100,142554,6715850
PK,PAKISTAN,1000,90842,10500,920792
PH,PHILIPPINES,4000,224816,117300,6773565
ZA,SOUTH AFRICA,0,0,39200,2843772
TW,"TAIWAN, PROVINCE OF CHINA",100,5130,12600,1459033
US,UNITED STATES,0,0,30500,1748181
VN,VIETNAM,32000,1761787,456000,24740173
SUM,SUM,124354,9922547,1415501,111638970
