"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2019', 'Quantity')","('Jun 2019', 'FOB (Baht)')","('Jan - Jun 2019', 'Quantity')","('Jan - Jun 2019', 'FOB (Baht)')"
AU,AUSTRALIA,0,0,15000,741230
BD,BANGLADESH,0,0,935000,44202148
BE,BELGIUM,0,0,300,1018966
KH,CAMBODIA,1320,132640,1320,132640
CN,CHINA,5330000,265513759,50456558,2469242310
IN,INDIA,906000,44108289,6006500,288633042
ID,INDONESIA,192000,9286987,756394,36879105
JP,JAPAN,0,0,12000,712380
LA,LAO PDR,0,0,18,41810
MY,MALAYSIA,90,11278,58680,3402486
PK,PAKISTAN,20000,1006755,86000,4220566
PH,PHILIPPINES,0,0,21000,1523813
SC,SEYCHELLES,1600,198000,1600,198000
SG,SINGAPORE,0,0,15220,766165
LK,SRI LANKA,0,0,17000,789737
TW,"TAIWAN, PROVINCE OF CHINA",0,0,35000,1767535
AE,UNITED ARAB EMIRATES,0,0,150,75416
US,UNITED STATES,0,0,83000,4095159
VN,VIETNAM,162728,8314351,507923,25054132
SUM,SUM,6613738,328572059,59008663,2883496640
