"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2016', 'Quantity')","('Mar 2016', 'FOB (Baht)')","('Jan - Mar 2016', 'Quantity')","('Jan - Mar 2016', 'FOB (Baht)')"
BN,BRUNEI DARUSSALAM,7000,255691,7000,255691
KH,CAMBODIA,1500,82246,3500,183056
HK,HONG KONG,0,0,150,2750
ID,INDONESIA,443000,23343585,1045000,55604071
JP,JAPAN,425,18948,1125,48198
MY,MALAYSIA,0,0,1000,129264
PK,PAKISTAN,17000,1545689,26775,2553017
ZA,SOUTH AFRICA,0,0,14,100
TW,"TAIWAN, PROVINCE OF CHINA",600,5306,775,37688
VN,VIETNAM,25000,743934,25000,743934
SUM,SUM,494525,25995399,1110339,59557769
