"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Nov 2019', 'Quantity')","('Nov 2019', 'FOB (Baht)')","('Jan - Nov 2019', 'Quantity')","('Jan - Nov 2019', 'FOB (Baht)')"
AU,AUSTRALIA,15000,684321,60000,2796640
BD,BANGLADESH,22000,1102718,1552000,71975187
BE,BELGIUM,0,0,300,1018966
KH,CAMBODIA,0,0,1320,132640
CL,CHILE,347,10964,347,10964
CN,CHINA,6839000,320184968,84512308,4042230879
HK,HONG KONG,0,0,1,306
IN,INDIA,2226000,102037346,19639500,908711107
ID,INDONESIA,131000,5978507,1417344,66905244
JP,JAPAN,0,0,24252,1411516
LA,LAO PDR,0,0,40,49351
MY,MALAYSIA,5456,651595,110442,7020148
MM,MYANMAR,0,0,14020,899446
PK,PAKISTAN,16000,751013,226500,10676888
PH,PHILIPPINES,0,0,24755,1790196
SC,SEYCHELLES,0,0,1600,198000
SG,SINGAPORE,0,0,30620,1496536
LK,SRI LANKA,0,0,17000,789737
TW,"TAIWAN, PROVINCE OF CHINA",0,0,69000,3366813
AE,UNITED ARAB EMIRATES,0,0,24150,1146001
US,UNITED STATES,0,0,162000,7837890
VN,VIETNAM,72000,3645962,961090,47101576
SUM,SUM,9326803,435047394,108848589,5177566031
