"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2019', 'Quantity')","('Apr 2019', 'FOB (Baht)')","('Jan - Apr 2019', 'Quantity')","('Jan - Apr 2019', 'FOB (Baht)')"
AU,AUSTRALIA,1024220,42749470,3129810,132527673
BD,BANGLADESH,173250,6356523,1411500,51875350
BE,BELGIUM,1782000,98825940,2268000,125742660
BT,BHUTAN,148500,5301150,321750,11442059
CN,CHINA,31176048,1493196537,111760949,5130339357
EC,ECUADOR,24750,1042102,24750,1042102
FJ,FIJI,1000,36131,1000,36131
HK,HONG KONG,9400,651870,124850,8447581
IN,INDIA,1430800,65404842,6149610,273143005
ID,INDONESIA,6491910,256523708,22278460,876134669
JP,JAPAN,6308025,273902720,31760875,1356277484
KR,"KOREA,REPUBLIC OF",888000,43297944,2661675,140406116
MY,MALAYSIA,1269295,53555234,4609515,190330815
MU,MAURITIUS,0,0,32500,1213653
MM,MYANMAR,33000,953856,33000,953856
NP,NEPAL,0,0,19800,1158825
NZ,NEW ZEALAND,485650,18910760,1540335,63883404
PK,PAKISTAN,0,0,418500,16969413
PG,PAPUA NEW GUINEA,0,0,16000,569181
PH,PHILIPPINES,825800,30661738,5311250,189275753
PT,PORTUGAL,0,0,50000,1778688
RE,REUNION,2000,74172,2000,74172
RU,RUSSIAN FEDERATION,64000,2287999,221000,8102438
SG,SINGAPORE,88000,5636693,542875,33601522
ZA,SOUTH AFRICA,0,0,45500,1806442
ES,SPAIN,1375,45323,1375,45323
LK,SRI LANKA,244750,9407313,431250,16760865
TW,"TAIWAN, PROVINCE OF CHINA",688382,30484594,3086432,130177212
US,UNITED STATES,184750,14620749,282500,23720127
VN,VIETNAM,823700,44122388,2443375,133984881
SUM,SUM,54168605,2498049756,200980436,8921820757
