"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Aug 2014', 'Quantity')","('Aug 2014', 'FOB (Baht)')","('Jan - Aug 2014', 'Quantity')","('Jan - Aug 2014', 'FOB (Baht)')"
AU,AUSTRALIA,144000,11099107,1446100,111597212
BD,BANGLADESH,116000,6620901,1731719,105756696
BE,BELGIUM,970200,61937932,5761260,363458522
CA,CANADA,0,0,1875,10806
CN,CHINA,10816420,674405517,79480142,4809819397
ET,ETHIOPIA,0,0,170000,5031262
FJ,FIJI,0,0,22000,1181029
FR,FRANCE,0,0,40,8596
GA,GABON,0,0,17000,526858
DE,GERMANY,0,0,150,6618
GH,GHANA,0,0,53000,1831588
HK,HONG KONG,57500,3854054,1347400,86778702
IN,INDIA,1965850,92968621,12175580,586430302
ID,INDONESIA,470400,29534888,3007113,191778951
JP,JAPAN,2387694,146748358,20935357,1284310762
KE,KENYA,16000,561924,49650,1730364
KR,"KOREA,REPUBLIC OF",1744620,115261450,15059570,1000914883
LA,LAO PDR,0,0,363377,10342762
MY,MALAYSIA,163125,11040717,1197375,78407828
MV,MALDIVES,0,0,49500,1776467
MU,MAURITIUS,0,0,34000,974668
MM,MYANMAR,0,0,270,24808
NL,NETHERLANDS,0,0,792000,65986466
NZ,NEW ZEALAND,0,0,161610,12602156
PK,PAKISTAN,0,0,32175,1987317
PE,PERU,0,0,17000,657861
PH,PHILIPPINES,717750,37948514,5505800,294062427
PT,PORTUGAL,100,25067,100,25067
RU,RUSSIAN FEDERATION,3510,683484,3510,683484
SG,SINGAPORE,93300,6241377,1267772,83336319
ES,SPAIN,0,0,2790,201495
LK,SRI LANKA,35300,1774851,125492,7285955
CH,SWITZERLAND,0,0,750,3201
TW,"TAIWAN, PROVINCE OF CHINA",379250,23763504,3369270,208217272
TZ,TANZANIA UNITED REPUBLIC OF,0,0,85000,2800810
AE,UNITED ARAB EMIRATES,0,0,38,128
US,UNITED STATES,50600,2629373,2270300,161816844
VN,VIETNAM,246121,16254636,2874742,198747885
SUM,SUM,20377740,1243354275,159410827,9681113768
