"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2018', 'Quantity')","('Jun 2018', 'FOB (Baht)')","('Jan - Jun 2018', 'Quantity')","('Jan - Jun 2018', 'FOB (Baht)')"
AO,ANGOLA,35200,1573585,262300,10155501
AU,AUSTRALIA,951625,39832515,6811775,278056885
BD,BANGLADESH,286500,11149446,2143500,84784227
BE,BELGIUM,0,0,416000,16100743
BR,BRAZIL,0,0,14200,697346
BN,BRUNEI DARUSSALAM,0,0,3500,147499
KH,CAMBODIA,407000,18538352,2935325,136462802
CM,CAMEROON,0,0,35000,1341916
CA,CANADA,190000,8823836,1201750,57599102
CL,CHILE,0,0,50,18785
CN,CHINA,19382075,804585692,126709421,5147258647
CG,CONGO,35000,1327365,49000,2042560
CI,COTE D IVOIRE,448000,16914498,1287500,49549346
CU,CUBA,0,0,12000,687210
DJ,DJIBOUTI,227500,8934893,911000,35959891
FJ,FIJI,124575,6546878,522175,25876306
FI,FINLAND,0,0,48000,2208469
FR,FRANCE,0,0,264000,12431256
PF,FRENCH POLYNESIA,13500,645357,108500,4930973
GA,GABON,0,0,27500,1280366
DE,GERMANY,0,0,1591200,76683926
GH,GHANA,350000,13145371,1602000,61010910
IN,INDIA,195800,10361560,2276150,103090197
ID,INDONESIA,5148000,208983372,21359350,860202035
IE,IRELAND,0,0,70000,3021159
IL,ISRAEL,1953425,85820917,8539975,368498334
JP,JAPAN,1751795,69255579,10694771,426223235
KZ,KAZAKHSTAN,51000,2015427,218500,8767475
KE,KENYA,0,0,141975,7210731
KR,"KOREA,REPUBLIC OF",20000,2172257,106925,11306925
LA,LAO PDR,126000,4995436,721597,25752890
LV,LATVIA,13500,636154,43500,1964642
LT,LITHUANIA,0,0,72000,3645397
MG,MADAGASCAR,28000,1292117,164000,7664498
MY,MALAYSIA,2750250,114178889,17010100,698425111
ML,MALI,0,0,162000,7693802
MU,MAURITIUS,132525,6961168,545575,26931324
MX,MEXICO,0,0,6400,827208
MZ,MOZAMBIQUE,33500,1289121,240050,9960916
MM,MYANMAR,131600,5917604,1079175,47260895
NP,NEPAL,0,0,49500,1870977
NL,NETHERLANDS,0,0,258500,12516086
NC,NEW CALEDONIA,48750,2053989,142000,6032349
NZ,NEW ZEALAND,422250,19120203,3282110,148166580
NG,NIGERIA,0,0,65000,2622396
PK,PAKISTAN,168600,7171321,267125,11746770
PG,PAPUA NEW GUINEA,71800,3648802,288800,14158251
PH,PHILIPPINES,115500,5451224,3042425,123240480
PL,POLAND,0,0,202500,8998779
PT,PORTUGAL,0,0,150000,5938094
QA,QATAR,0,0,25500,1160794
RE,REUNION,40500,1996283,212500,10353380
RU,RUSSIAN FEDERATION,187000,8388023,1721650,76650102
WS,SAMOA,0,0,26000,1385511
SA,SAUDI ARABIA,0,0,17500,710700
SN,SENEGAL,42700,1933713,304100,12688963
SL,SIERRA LEONE,0,0,13500,654738
SG,SINGAPORE,36100,1494170,249875,10307360
SI,SLOVENIA,0,0,198000,7917693
SB,SOLOMON ISLANDS,14200,760279,14200,760279
ZA,SOUTH AFRICA,203500,8140425,3588625,144955991
ES,SPAIN,49500,2023650,49500,2023650
LK,SRI LANKA,115075,4883130,857075,34508405
SE,SWEDEN,48000,2621525,176650,9124355
SY,SYRIAN ARAB REPUBLIC,0,0,102000,4488318
TW,"TAIWAN, PROVINCE OF CHINA",55500,2490219,349775,19609190
TG,TOGO,0,0,1120000,42573750
TR,TÜRKIYE,52400,2688085,225450,11452017
UA,UKRAINE,323000,13746108,996975,41865377
AE,UNITED ARAB EMIRATES,109250,5143314,1019300,43892714
GB,UNITED KINGDOM,0,0,35000,1466742
US,UNITED STATES,0,0,41100,1844481
VN,VIETNAM,3039100,122904768,23806705,940441982
SUM,SUM,39929095,1662556620,253306679,10379858694
