"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2022', 'Quantity')","('Dec 2022', 'FOB (Baht)')","('Jan - Dec 2022', 'Quantity')","('Jan - Dec 2022', 'FOB (Baht)')"
AU,AUSTRALIA,0,0,73022,3064055
BD,BANGLADESH,32000,840706,420038,37136830
BE,BELGIUM,144000,16553000,2494800,271009943
KH,CAMBODIA,0,0,114535,18244134
CN,CHINA,241869,12987109,2959866,175997201
EG,EGYPT,0,0,24125,2386093
DE,GERMANY,0,0,48193,5350433
HK,HONG KONG,0,0,5217,506918
IN,INDIA,445975,41801343,5434375,527705757
ID,INDONESIA,109750,9057471,2319880,227714771
IT,ITALY,0,0,50,4631
JP,JAPAN,20532,1189496,459910,40325480
KR,"KOREA,REPUBLIC OF",0,0,241591,27098642
LA,LAO PDR,1358,78963,3901,606437
MY,MALAYSIA,69424,7867323,449293,55633660
MU,MAURITIUS,0,0,243000,7491890
MX,MEXICO,0,0,16000,1219383
MM,MYANMAR,516,57784,7502,668653
PK,PAKISTAN,0,0,1500,343665
PH,PHILIPPINES,2250,327089,141846,15349251
SA,SAUDI ARABIA,108000,10425706,580175,57037174
SG,SINGAPORE,0,0,7057,1513116
ZA,SOUTH AFRICA,78500,7333316,719125,65873504
LK,SRI LANKA,0,0,1555,56526
TW,"TAIWAN, PROVINCE OF CHINA",32000,4039106,510450,60792129
AE,UNITED ARAB EMIRATES,30000,789949,637725,44279562
US,UNITED STATES,0,0,10000,752588
VN,VIETNAM,33375,2971581,652658,57231130
SUM,SUM,1349549,116319942,18577389,1705393556
