"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2022', 'Quantity')","('May 2022', 'FOB (Baht)')","('Jan - May 2022', 'Quantity')","('Jan - May 2022', 'FOB (Baht)')"
CN,CHINA,194100,8916501,473450,22066805
HK,HONG KONG,24000,1106877,243000,10381612
IN,INDIA,0,0,600,26547
ID,INDONESIA,81300,3563410,328800,15590761
JP,JAPAN,0,0,100,2847
KR,"KOREA,REPUBLIC OF",0,0,71000,9707680
LA,LAO PDR,15000,780000,15000,780000
PK,PAKISTAN,3000,262250,31000,2625460
PH,PHILIPPINES,36000,2664132,86400,5790444
TW,"TAIWAN, PROVINCE OF CHINA",5000,677898,8000,1040820
US,UNITED STATES,0,0,9800,594057
VN,VIETNAM,36000,2505055,228675,13986445
SUM,SUM,394400,20476123,1495825,82593478
