"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2021', 'Quantity')","('Apr 2021', 'FOB (Baht)')","('Jan - Apr 2021', 'Quantity')","('Jan - Apr 2021', 'FOB (Baht)')"
BH,BAHRAIN,0,0,102000,3747035
CA,CANADA,24000,919200,24000,919200
CN,CHINA,0,0,216250,5736626
IN,INDIA,62,38532,186,113302
MY,MALAYSIA,0,0,25600,763034
MM,MYANMAR,0,0,36000,954478
NZ,NEW ZEALAND,48450,2159808,48450,2159808
ZA,SOUTH AFRICA,138000,4083000,182000,5295400
TW,"TAIWAN, PROVINCE OF CHINA",0,0,51000,1904579
AE,UNITED ARAB EMIRATES,0,0,51000,1829512
SUM,SUM,210512,7200540,736486,23422974
