"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2012', 'Quantity')","('Jan 2012', 'FOB (Baht)')","('Jan - Jan 2012', 'Quantity')","('Jan - Jan 2012', 'FOB (Baht)')"
AU,AUSTRALIA,181200,11539123,181200,11539123
AT,AUSTRIA,1030,38200,1030,38200
BD,BANGLADESH,99000,5578170,99000,5578170
CN,CHINA,6293101,320909866,6293101,320909866
DE,GERMANY,345,11500,345,11500
HK,HONG KONG,216282,12364653,216282,12364653
IN,INDIA,1047000,56494333,1047000,56494333
ID,INDONESIA,1261190,57221736,1261190,57221736
JP,JAPAN,1015163,66310252,1015163,66310252
KR,"KOREA,REPUBLIC OF",1642800,99337482,1642800,99337482
LA,LAO PDR,80000,2430000,80000,2430000
LB,LEBANON,1500,188605,1500,188605
MY,MALAYSIA,1439070,63940700,1439070,63940700
MM,MYANMAR,450,10000,450,10000
NZ,NEW ZEALAND,19350,1722930,19350,1722930
PE,PERU,288000,11706642,288000,11706642
PH,PHILIPPINES,545370,22598795,545370,22598795
SA,SAUDI ARABIA,2950,367758,2950,367758
SG,SINGAPORE,194025,13303966,194025,13303966
TW,"TAIWAN, PROVINCE OF CHINA",423211,20733456,423211,20733456
VN,VIETNAM,38850,2435315,38850,2435315
SUM,SUM,14789887,769243482,14789887,769243482
